Species,Group
Abarenicola affinis ,1
Abarenicola affinis affinis ,1
Abarenicola affinis chilensis ,1
Abarenicola claparedei ,1
Abarenicola claparedi ,1
Abarenicola sp. ,1
Aberranta banyulensis ,0
Abietinaria abietina ,2
Abietinaria pulchra ,2
Abietinaria sp. ,1
Ablabesmyia annulata ,4
Ablabesmyia mallochi ,4
Ablabesmyia monilis ,4
Ablabesmyia sp. ,4
Abludomelita aculeata ,3
Abludomelita gladiosa ,3
Abludomelita obtusata ,3
Abra aequalis ,1
Abra alba ,3
Abra longicallus ,3
Abra lunella ,2
Abra nitida ,3
Abra ovata ,3
Abra prismatica ,1
Abra segmentum ,3
Abra sp. ,3
Abra tenuis ,3
Abrina lunella ,2
Abrina skinoshitai ,2
Abrina sp. ,2
Abyssoninoe hibernica ,1
Abyssoninoe scopa ,1
Abyssoninoe scopa aequilobata ,1
Acanthicolepis asperrima ,0
Acanthocardia aculeata ,1
Acanthocardia echinata ,1
Acanthocardia paucicostata ,1
Acanthocardia sp. ,1
Acanthocardia tuberculata ,1
Acanthochitona crinita ,1
Acanthochitona fascicularis ,1
Acanthochitona scutigera ,1
Acanthocythereis dunelmensis ,1
Acanthodoris hudsoni ,1
Acanthodoris rhodoceras ,1
Acanthohaustorius intermedius ,1
Acanthohaustorius millsi ,1
Acanthohaustorius sp. ,1
Acanthomysis aspera  ,2
Acanthoserolis schythei ,0
Acanthostepheia malmgreni ,2
Acaudina molpadioides ,2
Aceroides latipes ,2
Acetes chinensis ,1
Achaeus cranchii ,1
Achaeus gracilis ,1
Acharax patagonica ,3
Achelia assimilis ,1
Achelia echinata ,1
Achelia franciscana ,1
Achelia hispida ,1
Achelia laevis ,1
Achelia langi ,1
Achelia longipes ,1
Achelia simplex ,1
Achelia simplissima ,1
Achelia sp. ,1
Achelia vulgaris ,1
Acidostoma hanckocki ,2
Acidostoma nodiferum ,1
Acidostoma obesum ,1
Acidostoma sarsi ,1
Acidostoma sp. ,1
Acila castrensis ,2
Aclis gulsonae ,1
Aclis minor ,1
Aclis occidentalis ,1
Acmaea sp. ,1
Acmaea virginea ,1
ACMAEIDAE ,1
Acmira catherinae ,2
Acmira horikoshii ,2
Acmira lopezi ,2
Acmira simplex ,2
Acrocirrus sp. ,4
Acrocirrus validus ,4
Acrocnida brachiata ,1
Actaeopyramis eximia  ,2
Acteocina bidentata ,2
Acteocina bullata ,1
Acteocina canaliculata ,1
Acteocina candei ,2
Acteocina carinata ,2
Acteocina conspicua ,1
Acteocina culcitella ,2
Acteocina eximia ,2
Acteocina harpa ,2
Acteocina inculta ,2
Acteocina involuta ,2
Acteocina oryza ,3
Acteocina sp. ,2
Acteon biplicatus ,1
Acteon delicatus ,1
Acteon elongatus ,1
Acteon sp. ,1
Acteon tornatilis ,1
Acteon vagabundus ,1
ACTEONIDAE ,1
Actinauge richardi ,0
Actinia equina ,1
ACTINIARIA ,2
ACTINIIDAE ,2
Actinostola sp. ,2
Acuminodeutopus heteruropus ,2
Acuminodeutopus naglei ,1
Adamsia carciniopados ,2
Admete viridula ,1
Adontorhina cyclia ,2
Adula diegensis ,2
Adyte pellucida ,2
Adyte sp. ,2
Aedicira mediterranea ,2
Aedicira sp. ,2
Aegires albopunctatus ,1
Aeolidia papillosa ,1
Aeolidia sp. ,1
Aequipecten opercularis ,1
Aequipecten sp. ,1
Aesopus aliciae ,1
Aetea anguina ,0
Aetea sica ,0
Agladrillia fuegiensis ,1
Aglaja ocelligera ,1
Aglaja sp. ,1
Aglaophamus agilis ,2
Aglaophamus californiensis ,2
Aglaophamus circinata ,2
Aglaophamus dibranchis ,1
Aglaophamus dicirris ,2
Aglaophamus gippslandicus ,2
Aglaophamus lobatus ,2
Aglaophamus macroura ,2
Aglaophamus malmgreni ,2
Aglaophamus peruana ,2
Aglaophamus pulcher ,0
Aglaophamus pulchra ,2
Aglaophamus rubella ,2
Aglaophamus sinensis ,2
Aglaophamus sp. ,2
