fieldNumber,maximumDepthInMeters,Temp
IT-ORIS01-MIS-P1-R1,0.6,23.2
IT-ORIS01-MIS-P1-R2,0.6,23.2
IT-ORIS01-MIS-P1-R3,0.6,23.2
IT-ORIS01-MIS-P2-R1,0.6,23.8
IT-ORIS01-MIS-P2-R2,0.6,23.8
IT-ORIS01-MIS-P2-R3,0.6,23.8
IT-ORIS01-MIS-P3-R1,0.6,22.6
IT-ORIS01-MIS-P3-R2,0.6,22.6
IT-ORIS01-MIS-P3-R3,0.6,22.6
LT-CU01-VE-P1-R1,0.8,12
LT-CU01-VE-P1-R2,0.8,12
LT-CU01-VE-P1-R3,0.8,12
LT-CU01-VE-P2-R1,0.8,12
LT-CU01-VE-P2-R2,0.8,12
LT-CU01-VE-P2-R3,0.8,12
LT-CU01-VE-P3-R1,0.8,12
LT-CU01-VE-P3-R2,0.8,12
LT-CU01-VE-P3-R3,0.8,12
PL-VL-W-P1-R1,1,12.9
PL-VL-W-P1-R2,1,12.9
PL-VL-W-P1-R3,1,12.9
PL-VL-W-P2-R1,1,12.9
PL-VL-W-P2-R2,1,12.9
PL-VL-W-P2-R3,1,12.9
PL-VL-W-P3-R1,1,12.8
PL-VL-W-P3-R2,1,12.8
PL-VL-W-P3-R3,1,12.8
PL-VL-E-P1-R1,1,13.2
PL-VL-E-P1-R2,1,13.2
PL-VL-E-P1-R3,1,13.2
PL-VL-E-P2-R1,1,13.2
PL-VL-E-P2-R2,1,13.2
PL-VL-E-P2-R3,1,13.2
PL-VL-E-P3-R1,1,13.1
PL-VL-E-P3-R2,1,13.1
PL-VL-E-P3-R3,1,13.3
